iteration,route,distance
0,"['D', 'C', 'B', 'E', 'A', 'F', 'G']",18.9
1,"['D', 'C', 'B', 'E', 'A', 'F', 'G']",18.9
2,"['G', 'B', 'C', 'D', 'E', 'A', 'F']",18.7
3,"['G', 'B', 'C', 'D', 'E', 'A', 'F']",18.7
4,"['G', 'B', 'C', 'D', 'E', 'A', 'F']",18.7
5,"['G', 'B', 'C', 'D', 'E', 'A', 'F']",18.7
6,"['B', 'C', 'A', 'G', 'F', 'E', 'D']",17.6
7,"['B', 'C', 'A', 'G', 'F', 'E', 'D']",17.6
8,"['B', 'C', 'A', 'G', 'F', 'E', 'D']",17.6
9,"['B', 'C', 'A', 'G', 'F', 'E', 'D']",17.6
10,"['B', 'C', 'A', 'G', 'F', 'E', 'D']",17.6
11,"['B', 'C', 'A', 'G', 'F', 'E', 'D']",17.6
12,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
13,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
14,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
15,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
16,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
17,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
18,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
19,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
20,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
21,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
22,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
23,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
24,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
25,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
26,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
27,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
28,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
29,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
30,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
31,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
32,"['G', 'A', 'B', 'C', 'D', 'E', 'F']",16.7
